Team,Season,Poin_Asli,Prediksi_RF,Error_Deviasi
Sheffield Utd,2324,16,36.13,20.13
Wolves,2122,51,37.64,13.36
Manchester Utd,2223,75,62.3,12.7
Arsenal,2021,61,50.11,10.89
Arsenal,2425,74,63.37,10.63
Liverpool,2324,82,72.32,9.68
Newcastle Utd,2122,49,40.53,8.47
Manchester Utd,2021,74,65.93,8.07
Chelsea,2021,67,60.53,6.47
Brentford,2122,46,52.0,6.0
West Ham,2021,65,59.64,5.36
Manchester City,2122,93,87.65,5.35
Tottenham,2324,66,70.31,4.31
Liverpool,2122,92,87.89,4.11
Brighton,2223,62,65.41,3.41
Leicester City,2425,25,22.03,2.97
Chelsea,2223,44,42.17,1.83
Liverpool,2021,69,69.95,0.95
Manchester Utd,2324,60,59.14,0.86
Brentford,2425,56,55.53,0.47
